char,Line,movie
DENETHOR,"    You may triumph in the field of battle for a day, but against the power that     has risen in the east, there is no victory!  ",The Return of the King 
DENETHOR,"    NOOOOOO, you will not take my son from me!  ",The Return of the King 
PIPPIN,    NO! Aaahhh ,The Return of the King 
DENETHOR,    Faramir!  ,The Return of the King 
DENETHOR,    Aaaaaahhhh!  ,The Return of the King 
GANDALF,"    So passes Denethor, son of Ecthelion.  ",The Return of the King 
MOUTH OF SAURON, And who is this?  Isildur's heir?  It takes more to make a King than a broken Elvish blade.      ,The Return of the King 
GIMLI,  I guess that concludes negotiations.      ,The Return of the King 
ARAGORN,     I do not believe it.  I will not.     ,The Return of the King 
ARAGORN,This army.  ,The Return of the King 
GOLLUM,In there.  ,The Return of the King 
FRODO, What is this place?  ,The Return of the King 
GOLLUM,Master must go inside the tunnel.  ,The Return of the King 
FRODO,Now that I'm here I don't think I want to.  ,The Return of the King 
GOLLUM,It's the only way. Go in' or go back.  ,The Return of the King 
FRODO,I can't go back.  ,The Return of the King 
FRODO,What's that smell. ,The Return of the King 
GOLLUM,Orcses' filth. Orcses come in here sometimes.  ,The Return of the King 
GOLLUM,Hurry! This way. ,The Return of the King 
FRODO,Smeagol?  ,The Return of the King 
GOLLUM,Over here.  ,The Return of the King 
FRODO,"Ah aah! Its sticky, what is it?  ",The Return of the King 
GOLLUM," You'll see. Oh yes, you     will see. ",The Return of the King 
EOMER,"  Drive them to the river. ,     ",The Return of the King 
THEODEN,"  Make safe the city.,     ",The Return of the King 
THEODEN,"  Re-form the line!  Re-form the line!,     ",The Return of the King 
THEODEN,"  Sound the charge.  Take them head-on. Chaaarge! ,     ",The Return of the King 
ROHIRRIM,"  Cut him down! ,     ",The Return of the King 
EOWYN,"  Take the reins, pull him left. ,  LEFT! ,     ",The Return of the King 
EOMER,"  Aim for the heads! ,     ",The Return of the King 
THEODEN,"  Bring it down! Bring it down!  Bring it down!,     ",The Return of the King 
EOWYN,"  Merry! ,     ",The Return of the King 
FRODO,Smeagol? (shouts) SMEAGOL! SMEAGOL!  ,The Return of the King 
FRODO,Sam.  ,The Return of the King 
SAM,Ow!  ,The Return of the King 
GALADRIEL VOICEOVER,"And you Frodo Baggins, I give you the light of E'rendil, our most beloved star. , May it be a light for you in dark places, when all other lights go out.  ",The Return of the King 
FRODO,Aiya E'rendil Elenion Ancalim'  ,The Return of the King 
GOLLUM,"Naughty little fly. Why does he cry? ,Caught in a web. Soon     you'll be eaten.  ",The Return of the King 
GOLLUM,Got away did it precious? Not this time. Not this time.     ,The Return of the King 
FRODO,NO! ,The Return of the King 
SMEAGOL,"It wasn't us. It wasn't us. ,Smeagol wouldn't hurt master. We promised. You must believe us. It was the precious. The precious made us do it.  ",The Return of the King 
FRODO,"I have to destroy it Smeagol. , I have to destroy it for both our sakes.  ",The Return of the King 
GOLLUM,"NO! , Aaaaaaaaa. ",The Return of the King 
FRODO,I'm so sorry Sam.     I'm so sorry.  ,The Return of the King 
GIMLI,What kind of army would linger in such a place?  ,The Return of the King 
LEGOLAS,"One that is cursed. Long ago the men of the mountains swore an oath to     the last King of Gondor , to come to his aid, to fight. But when     the time came, when Gondor's need was dire, they fled vanishing into the     darkness of the mountain. And so Isildur cursed them, never to rest until     they had fulfilled their pledge. Who shall call them from the grey twilight,     the forgotten people? The heir of him to whom the oath they swore. From the     North shall he come, need shall drive him. He shall pass the door to the     Paths of the Dead.  ",The Return of the King 
GIMLI,The very warmth of my blood seems stolen away.  ,The Return of the King 
LEGOLAS,"The way is shut. It was made by those who are dead , and the dead keep it. The     way is shut.  ",The Return of the King 
ARAGORN,Brego!  ,The Return of the King 
ARAGORN,I do not fear death! ,The Return of the King 
GALADRIEL,"This task was appointed to you, Frodo of the Shire. If you do not find a     way, no one will.  ",The Return of the King 
EOMER,"The scouts report Minas Tirith is surrounded. The lower level's in flames. Everywhere, legions of the enemy advance.  ",The Return of the King 
THEODEN,Time is against us. Make ready! ,The Return of the King 
EOWYN,"Take heart Merry. , It will soon be over ",The Return of the King 
MERRY,"My lady. You are fair and brave and have much to live for    , and many who love you. I     know it is too late to turn aside. I know there is not much point now in     hoping. If I were a knight of Rohan capable of great deeds'but I'm not. I'm a Hobbit. And I know I can't save Middle Earth. I just want to help my friends; Frodo, Sam, Pippin. More than anything I wish I could see them again. ",The Return of the King 
EOMER,Prepare to move out!  ,The Return of the King 
THEODEN,Make haste. We ride through the night.  ,The Return of the King 
EOWYN,To battle ,The Return of the King 
MERRY,To battle ,The Return of the King 
GANDALF,Back to the gate! Hurry! ,The Return of the King 
GIMLI,"Well this is a thing unheard of. An elf will go underground, where a     dwarf dare not. Oh. Oh, I'd never hear the end of it.  ",The Return of the King 
THEODEN,We must ride light and swift. It is a long road ahead and man and beast     must reach the end with the strength to fight.  ,The Return of the King 
THEODEN,Little Hobbits do not belong in war Master Meriadoc.  ,The Return of the King 
MERRY,All my friends have gone to battle. I would be ashamed to be left     behind.  ,The Return of the King 
THEODEN,It is a three-day gallop to Minas Tirith and none of my riders can bear     you as a burdon.  ,The Return of the King 
MERRY, I want to fight! ,The Return of the King 
THEODEN,I will say no more.  ,The Return of the King 
EOWYN,Ride with me!  ,The Return of the King 
MERRY,My lady!  ,The Return of the King 
EOMER,"Form up, move out! Form up, move out!  ",The Return of the King 
THEODEN, Ride! Ride now to Gondor. ,The Return of the King 
GIMLI,What is it? What do you see?  ,The Return of the King 
LEGOLAS,I see shapes of men and of horses. ,The Return of the King 
GIMLI,Where?  ,The Return of the King 
LEGOLAS,"Pale banners like shreds of cloud. , Spears rise     like winter thickets through a shroud of mist. The dead are following. They     have been summoned.  ",The Return of the King 
GIMLI," The dead?     Summoned? I knew that! Huh. Huh. , Very good. Very good. , Legolas!  ",The Return of the King 
ARAGORN,Do not look down.  ,The Return of the King 
KING OF THE DEAD,Who enters my domain? ,The Return of the King 
ARAGORN,One who will have your allegiance.  ,The Return of the King 
KING OF THE DEAD,The dead do not suffer the living to pass.  ,The Return of the King 
ARAGORN,You will suffer me!  ,The Return of the King 
KING OF THE DEAD,The way is shut! It was made by those who are dead. And the dead keep     it. (The Ghostly army closes around them) The way is shut! Now you must die!     ,The Return of the King 
ARAGORN, I summon you to     fulfil your oath!  ,The Return of the King 
KING OF THE DEAD,None but the King of Gondor may command me!  ,The Return of the King 
SOLDIER,"Make way for the King!  Make way, the King is here ",The Return of the King 
SOLDIER,My lord!  ,The Return of the King 
SOLDIER, Hail to you sire!   ,The Return of the King 
GRIMBOLD, I bring 500 men from the Westfold my lord.   ,The Return of the King 
SOLDIER,"We have 300 more from Fenmarch, Theoden King.   ",The Return of the King 
KING OF THE DEAD,That blade was broken! ,The Return of the King 
ARAGORN,"It has been remade. ,     Fight for us and regain your honour. What say you? ,What say you? ",The Return of the King 
GIMLI,Ach! You waste your time Aragorn. They had no honour in life and they     have none now in death.  ,The Return of the King 
ARAGORN,"I am Isildur's heir. Fight for me and I will hold your oaths fulfilled.    ,What say you?     ",The Return of the King 
ARAGORN,"You have my word! Fight and I will release you from this living death!    , What say you?  ",The Return of the King 
GIMLI,Stand you traitors!  ,The Return of the King 
ARAGORN,Out!  ,The Return of the King 
ARAGORN,Legolas! Run!  ,The Return of the King 
KING OF THE DEAD,We fight!  ,The Return of the King 
SOLDIER,"Open the gate, quick!  ",The Return of the King 
IROLAS,Quick! Hurry!  ,The Return of the King 
DENETHOR,Faramir! Say not that he has fallen.  ,The Return of the King 
IROLAS,They were outnumbered! None survived.  ,The Return of the King 
GOTHMOG,Fear. The city is rank with it! Ha ha ha ha. Let us ease their pain.     Release the prisoners!  ,The Return of the King 
THEODEN,Where are the riders from Snowbourn?   ,The Return of the King 
SOLDIER,None have come my lord.   ,The Return of the King 
THEODEN,"Six thousand spears, less than half of what I had hoped for. ",The Return of the King 
ARAGORN,Six thousand will not be enough to break the lines of Mordor.   ,The Return of the King 
THEODEN,  More will come     ,The Return of the King 
ARAGORN,"Every hour lost hastens Gondor's defeat.  ,  We have until dawn then we must ride.   ",The Return of the King 
LEGOLAS,The horses are restless and the men are quiet. ,The Return of the King 
EOMER,They grow nervous in the shadow of the mountain.   ,The Return of the King 
GIMLI,That road there where does that lead?   ,The Return of the King 
LEGOLAS," It is the road to the Dimholt, the door under the mountain.   ",The Return of the King 
ORC,"Catapults! , ha ha ha.     ",The Return of the King 
DENETHOR,"My sons are spent! ,     My line has ended!  ",The Return of the King 
PIPPIN,He's alive!  ,The Return of the King 
DENETHOR, The     house of Stewards has failed.  ,The Return of the King 
PIPPIN,He needs medicine my lord!  ,The Return of the King 
DENETHOR,My line has ended!  ,The Return of the King 
PIPPIN,My lord! ,The Return of the King 
DENETHOR,Rohan has deserted us!  ,The Return of the King 
DENETHOR,"Theoden's betrayed me! ABANDON YOUR POSTS! ,FLEE! FLEE FOR YOUR LIVES! ",The Return of the King 
GANDALF,Prepare for battle. Hurry men! To the wall! Defend the wall! Over here!     Return to your posts. ,The Return of the King 
GANDALF,Send these foul beasts into the Abyss.  ,The Return of the King 
GOTHMOG,Stay where you are! ,The Return of the King 
SOLDIER,We need more rubble! ,The Return of the King 
EOMER,None who venture there ever return.  That mountain is evil.   ,The Return of the King 
GIMLI,"Aragorn!  ,      Let's find some food.   ",The Return of the King 
EOWYN,There.  A true esquire of Rohan.   ,The Return of the King 
MERRY,"I'm ready!  , Sorry.  It isn't all that dangerous.  It's not     even sharp.   ",The Return of the King 
EOWYN,"To the smithy, go!   ",The Return of the King 
EOMER,     You should not encourage him. ,The Return of the King 
EOWYN,You should not doubt him.   ,The Return of the King 
EOMER,"I do not doubt his heart, only the reach of his arm.      ",The Return of the King 
EOWYN,Why should Merry be left behind?  He has as much cause to go to war as     you.  Why can he not fight for those he loves?   ,The Return of the King 
EOMER,"You know as little of war as that Hobbit.   When the fear takes him    , and the blood and the     screams and the horror of battle take hold.  Do you think he would stand and     fight?  He would flee.  And he would be right to do so.     ,  War is the     province of men Eowyn.   ",The Return of the King 
SOLDIER,Sir?  King Theoden awaits you my lord.   ,The Return of the King 
SOLDIER,Watch out!  ,The Return of the King 
SOLDIER,Down to the lower levels quick!  ,The Return of the King 
SOLDIER,Double up men!  ,The Return of the King 
